Date,Open,High,Low,Close,I,S,IS
1/1/2021,1.22922,1.23083,1.22201,1.22241,Sideway,Sideway,Sideway
4/1/2021,1.22345,1.23087,1.22241,1.2249,Sideway,Sideway,Sideway
5/1/2021,1.22423,1.23048,1.2242,1.22921,Up,Sideway,Sideway
6/1/2021,1.22899,1.23485,1.22647,1.23215,Up,Sideway,Sideway
7/1/2021,1.23217,1.23436,1.22443,1.22676,Up,Sideway,Sideway
8/1/2021,1.22681,1.2284,1.21921,1.22202,Sideway,Sideway,Sideway
11/1/2021,1.22135,1.22219,1.21314,1.21482,Sideway,Sideway,Sideway
12/1/2021,1.21468,1.22088,1.21363,1.22031,Sideway,Sideway,Sideway
13/1/2021,1.22022,1.2222,1.21391,1.21539,Sideway,Sideway,Sideway
14/1/2021,1.21524,1.21776,1.21102,1.2153,Sideway,Sideway,Sideway
15/1/2021,1.21501,1.21618,1.20743,1.20743,Sideway,Sideway,Sideway
18/1/2021,1.20823,1.20861,1.20527,1.20763,Down,Sideway,Sideway
19/1/2021,1.20735,1.21441,1.20722,1.21255,Down,Down,Down
20/1/2021,1.21262,1.21574,1.20759,1.21044,Sideway,Sideway,Sideway
21/1/2021,1.21006,1.21722,1.20995,1.21611,Down,Sideway,Sideway
22/1/2021,1.21611,1.21888,1.21508,1.21701,Sideway,Sideway,Sideway
25/1/2021,1.21665,1.21823,1.21151,1.21383,Sideway,Sideway,Sideway
26/1/2021,1.21367,1.21753,1.21069,1.21581,Sideway,Sideway,Sideway
27/1/2021,1.21555,1.21691,1.20577,1.21115,Sideway,Sideway,Sideway
28/1/2021,1.21065,1.21411,1.20799,1.21169,Sideway,Sideway,Sideway
29/1/2021,1.21177,1.21551,1.20937,1.2136,Sideway,Sideway,Sideway
1/2/2021,1.21266,1.21358,1.20553,1.20569,Sideway,Sideway,Sideway
2/2/2021,1.20556,1.20871,1.20108,1.20402,Down,Sideway,Sideway
3/2/2021,1.20419,1.20494,1.20033,1.20329,Down,Sideway,Sideway
4/2/2021,1.20337,1.2042,1.19565,1.19595,Down,Down,Down
5/2/2021,1.19575,1.20491,1.19516,1.20472,Down,Sideway,Sideway
8/2/2021,1.20332,1.20653,1.2019,1.20453,Sideway,Sideway,Sideway
9/2/2021,1.20442,1.21211,1.20442,1.21185,Sideway,Sideway,Sideway
10/2/2021,1.21133,1.21431,1.21082,1.21147,Up,Up,Up
11/2/2021,1.21157,1.21488,1.21128,1.21262,Up,Sideway,Sideway
12/2/2021,1.21259,1.21347,1.20808,1.21174,Up,Sideway,Sideway
15/2/2021,1.21204,1.21442,1.21158,1.21249,Up,Sideway,Sideway
16/2/2021,1.21239,1.21688,1.20943,1.21027,Up,Sideway,Sideway
17/2/2021,1.21027,1.21071,1.20225,1.20339,Sideway,Sideway,Sideway
18/2/2021,1.20314,1.20938,1.20313,1.20851,Sideway,Sideway,Sideway
19/2/2021,1.20856,1.21436,1.20816,1.21162,Sideway,Sideway,Sideway
22/2/2021,1.21103,1.21686,1.20903,1.21507,Up,Sideway,Sideway
23/2/2021,1.21518,1.21791,1.21345,1.21459,Up,Sideway,Sideway
24/2/2021,1.21472,1.21739,1.21083,1.21617,Up,Sideway,Sideway
25/2/2021,1.216,1.22421,1.21552,1.21683,Up,Sideway,Sideway
26/2/2021,1.21742,1.21829,1.20613,1.20719,Up,Up,Up
1/3/2021,1.20661,1.21005,1.2027,1.20451,Down,Sideway,Sideway
2/3/2021,1.20464,1.20936,1.19909,1.20863,Down,Down,Down
3/3/2021,1.20871,1.21123,1.20419,1.20605,Down,Sideway,Sideway
4/3/2021,1.20596,1.20654,1.19608,1.19627,Down,Sideway,Sideway
5/3/2021,1.1964,1.1976,1.1892,1.1908,Down,Sideway,Sideway
8/3/2021,1.19136,1.19314,1.18433,1.18444,Down,Sideway,Sideway
9/3/2021,1.1842,1.19149,1.18346,1.18974,Down,Down,Down
10/3/2021,1.18952,1.1929,1.18681,1.19251,Down,Down,Down
11/3/2021,1.19245,1.19892,1.19148,1.19811,Down,Sideway,Sideway
12/3/2021,1.19815,1.19877,1.19092,1.19517,Sideway,Sideway,Sideway
15/3/2021,1.19502,1.19666,1.19103,1.19267,Sideway,Sideway,Sideway
16/3/2021,1.19264,1.19511,1.18816,1.19003,Down,Down,Down
17/3/2021,1.19002,1.19848,1.18856,1.19795,Down,Sideway,Sideway
18/3/2021,1.19793,1.19881,1.19054,1.19133,Sideway,Sideway,Sideway
19/3/2021,1.1913,1.19365,1.1873,1.19037,Sideway,Sideway,Sideway
22/3/2021,1.18785,1.19461,1.18739,1.19326,Sideway,Sideway,Sideway
23/3/2021,1.19325,1.194,1.18414,1.18503,Sideway,Sideway,Sideway
24/3/2021,1.18501,1.1851,1.1808,1.18117,Down,Sideway,Sideway
25/3/2021,1.18116,1.18269,1.17608,1.17678,Down,Sideway,Sideway
26/3/2021,1.17675,1.18042,1.17674,1.17921,Down,Sideway,Sideway
29/3/2021,1.17867,1.17931,1.176,1.17628,Down,Sideway,Sideway
30/3/2021,1.17592,1.1773,1.17102,1.17128,Down,Sideway,Sideway
31/3/2021,1.17124,1.17592,1.17034,1.17262,Down,Down,Down
