,Date,Open,High,Low,Close
0,2015-01-01,1.21574,1.2169,1.20966,1.20999
1,2015-01-02,1.2048,1.20689,1.19993,1.20002
2,2015-01-05,1.19509,1.19756,1.18577,1.1932
3,2015-01-06,1.19322,1.1968,1.18834,1.18886
4,2015-01-07,1.18889,1.18957,1.18013,1.18387
5,2015-01-08,1.18386,1.18466,1.17534,1.1791
6,2015-01-09,1.17908,1.18452,1.17617,1.18396
7,2015-01-12,1.18452,1.187,1.17853,1.18331
8,2015-01-13,1.18321,1.18589,1.17526,1.17719
9,2015-01-14,1.17715,1.18456,1.17266,1.17878
10,2015-01-15,1.17887,1.17918,1.1567,1.16314
11,2015-01-16,1.16315,1.1648,1.14591,1.15601
12,2015-01-19,1.15507,1.16381,1.15499,1.16062
13,2015-01-20,1.16059,1.16141,1.15395,1.15488
14,2015-01-21,1.1549,1.16791,1.15406,1.16088
15,2015-01-22,1.16092,1.16504,1.13154,1.13645
16,2015-01-23,1.13646,1.13734,1.11137,1.12042
17,2015-01-26,1.11485,1.12946,1.10969,1.12376
18,2015-01-27,1.1238,1.14218,1.12228,1.13797
19,2015-01-28,1.13801,1.13822,1.12754,1.12862
20,2015-01-29,1.12865,1.13671,1.12612,1.13187
21,2015-01-30,1.13188,1.1363,1.12772,1.12817
22,2015-02-02,1.13098,1.13613,1.12915,1.13404
23,2015-02-03,1.13399,1.15328,1.13116,1.14796
24,2015-02-04,1.14807,1.14841,1.13148,1.1344
25,2015-02-05,1.13444,1.14981,1.13032,1.14761
26,2015-02-06,1.14759,1.14852,1.1311,1.13133
27,2015-02-09,1.12956,1.13586,1.12694,1.13232
28,2015-02-10,1.13233,1.13446,1.12721,1.13198
29,2015-02-11,1.13196,1.13466,1.1279,1.13341
30,2015-02-12,1.13317,1.14223,1.13011,1.14018
31,2015-02-13,1.14015,1.14422,1.13791,1.13882
32,2015-02-16,1.1395,1.14283,1.13186,1.13522
33,2015-02-17,1.13528,1.1448,1.1321,1.14098
34,2015-02-18,1.14103,1.14153,1.1333,1.13961
35,2015-02-19,1.13963,1.14496,1.13544,1.13669
36,2015-02-20,1.1367,1.14287,1.1278,1.13788
37,2015-02-23,1.13885,1.13952,1.12945,1.13335
38,2015-02-24,1.13333,1.13573,1.12874,1.13396
39,2015-02-25,1.13397,1.13881,1.1335,1.13601
40,2015-02-26,1.13594,1.1379,1.11828,1.11967
41,2015-02-27,1.11965,1.12445,1.11751,1.11943
42,2015-03-02,1.11772,1.12399,1.11593,1.11835
43,2015-03-03,1.11831,1.12168,1.11538,1.1175
44,2015-03-04,1.11753,1.11847,1.10607,1.10772
45,2015-03-05,1.10771,1.11136,1.09867,1.10285
46,2015-03-06,1.10265,1.10321,1.08385,1.08453
47,2015-03-09,1.08302,1.09057,1.08219,1.0852
48,2015-03-10,1.08523,1.08557,1.06665,1.06791
49,2015-03-11,1.0679,1.07162,1.05105,1.0544
50,2015-03-12,1.05439,1.06807,1.04933,1.06238
51,2015-03-13,1.06238,1.0634,1.04616,1.04936
52,2015-03-16,1.0486,1.06186,1.04787,1.05664
53,2015-03-17,1.05663,1.065,1.05505,1.05967
54,2015-03-18,1.05967,1.10412,1.05792,1.08285
55,2015-03-19,1.08278,1.09185,1.0612,1.0656
56,2015-03-20,1.06562,1.08813,1.06546,1.08142
57,2015-03-23,1.08674,1.09705,1.07666,1.09445
58,2015-03-24,1.09448,1.10284,1.08897,1.09181
59,2015-03-25,1.09181,1.10138,1.08998,1.0971
60,2015-03-26,1.09716,1.10513,1.08557,1.0874
61,2015-03-27,1.0874,1.09481,1.08003,1.08909
62,2015-03-30,1.08847,1.08944,1.08091,1.08319
63,2015-03-31,1.08317,1.08446,1.07122,1.0731
64,2015-04-01,1.07309,1.07989,1.07178,1.07624
65,2015-04-02,1.07624,1.09045,1.07496,1.0879
66,2015-04-03,1.08794,1.10263,1.08632,1.09726
67,2015-04-06,1.10001,1.10349,1.09089,1.09217
68,2015-04-07,1.09216,1.09541,1.08025,1.08141
69,2015-04-08,1.08137,1.08868,1.07626,1.07794
70,2015-04-09,1.07794,1.07879,1.06369,1.06584
71,2015-04-10,1.06582,1.06829,1.05671,1.06031
72,2015-04-13,1.0584,1.06185,1.05196,1.0566
73,2015-04-14,1.05662,1.07067,1.05306,1.06537
74,2015-04-15,1.06532,1.07015,1.057,1.06832
75,2015-04-16,1.06837,1.0817,1.06237,1.07601
76,2015-04-17,1.07606,1.08482,1.0733,1.08033
77,2015-04-20,1.08173,1.082,1.07113,1.07365
78,2015-04-21,1.07365,1.07806,1.0659,1.07347
79,2015-04-22,1.07347,1.08,1.07077,1.0724
80,2015-04-23,1.07242,1.08452,1.06653,1.08233
81,2015-04-24,1.08234,1.08992,1.07839,1.0872
82,2015-04-27,1.08626,1.09258,1.08185,1.08906
83,2015-04-28,1.08905,1.09901,1.08591,1.09801
84,2015-04-29,1.09801,1.11871,1.09588,1.11275
85,2015-04-30,1.11276,1.12656,1.10705,1.1223
86,2015-05-01,1.12234,1.12894,1.11737,1.11958
87,2015-05-04,1.11908,1.12239,1.11219,1.1145
88,2015-05-05,1.11443,1.12222,1.10655,1.11846
89,2015-05-06,1.11842,1.13693,1.11741,1.1346
90,2015-05-07,1.13461,1.1391,1.12365,1.12656
91,2015-05-08,1.12652,1.12888,1.11783,1.12091
92,2015-05-11,1.11966,1.12057,1.11302,1.11539
93,2015-05-12,1.11544,1.12781,1.11337,1.12118
94,2015-05-13,1.12122,1.1382,1.12018,1.13532
95,2015-05-14,1.13529,1.1444,1.13399,1.14086
96,2015-05-15,1.14086,1.14662,1.13231,1.14455
97,2015-05-18,1.14455,1.1449,1.12979,1.13141
98,2015-05-19,1.13142,1.13256,1.1118,1.11488
99,2015-05-20,1.11489,1.11514,1.10615,1.10928
100,2015-05-21,1.10923,1.11805,1.10792,1.11108
101,2015-05-22,1.11096,1.12076,1.10013,1.10103
102,2015-05-25,1.10008,1.1009,1.09582,1.09771
103,2015-05-26,1.09765,1.09808,1.08625,1.08716
104,2015-05-27,1.08735,1.09284,1.08183,1.09032
105,2015-05-28,1.09031,1.09581,1.08664,1.09478
106,2015-05-29,1.09478,1.10055,1.0925,1.09926
107,2015-06-01,1.09796,1.09884,1.08863,1.09258
108,2015-06-02,1.0926,1.11936,1.09153,1.11496
109,2015-06-03,1.115,1.12844,1.10786,1.12732
110,2015-06-04,1.12731,1.13791,1.12228,1.12371
111,2015-06-05,1.12369,1.12794,1.10486,1.11136
112,2015-06-08,1.10957,1.13063,1.10833,1.12905
113,2015-06-09,1.12905,1.13449,1.12133,1.12815
114,2015-06-10,1.12819,1.13857,1.12591,1.13228
115,2015-06-11,1.1323,1.1331,1.11813,1.12566
116,2015-06-12,1.12568,1.12957,1.11504,1.12633
117,2015-06-15,1.121,1.12937,1.11885,1.12819
118,2015-06-16,1.12828,1.13291,1.12041,1.12467
119,2015-06-17,1.12467,1.13571,1.12045,1.13364
120,2015-06-18,1.13356,1.14354,1.13296,1.13577
121,2015-06-19,1.13571,1.13959,1.12912,1.13466
122,2015-06-22,1.13757,1.14097,1.13109,1.13395
123,2015-06-23,1.13399,1.13467,1.11343,1.11667
124,2015-06-24,1.11665,1.12339,1.11539,1.12031
125,2015-06-25,1.12033,1.12271,1.11529,1.12026
126,2015-06-26,1.12026,1.1219,1.11292,1.11704
127,2015-06-29,1.1002,1.12776,1.09532,1.12347
128,2015-06-30,1.12348,1.12438,1.11117,1.11449
129,2015-07-01,1.11446,1.11706,1.1042,1.10521
130,2015-07-02,1.10527,1.11208,1.10315,1.10826
131,2015-07-03,1.10828,1.1117,1.10643,1.11081
132,2015-07-06,1.0987,1.10948,1.09687,1.10549
133,2015-07-07,1.10552,1.1058,1.09156,1.101
134,2015-07-08,1.10106,1.1092,1.09734,1.10753
135,2015-07-09,1.10754,1.11243,1.09907,1.10351
136,2015-07-10,1.10354,1.12153,1.10293,1.11525
137,2015-07-13,1.10918,1.11964,1.09948,1.1
138,2015-07-14,1.09999,1.10838,1.09647,1.10076
139,2015-07-15,1.10077,1.10349,1.09291,1.09453
140,2015-07-16,1.09455,1.09618,1.08548,1.08738
141,2015-07-17,1.08738,1.09063,1.08275,1.08285
142,2015-07-20,1.08275,1.08694,1.08078,1.08241
143,2015-07-21,1.08242,1.0968,1.08108,1.09339
144,2015-07-22,1.09333,1.0966,1.08689,1.09278
145,2015-07-23,1.09279,1.10172,1.0921,1.09846
146,2015-07-24,1.09845,1.09951,1.09246,1.09758
147,2015-07-27,1.09806,1.11287,1.09682,1.10871
148,2015-07-28,1.10878,1.1099,1.10214,1.10593
149,2015-07-29,1.10589,1.10832,1.09663,1.09826
150,2015-07-30,1.0983,1.09886,1.08924,1.09312
151,2015-07-31,1.09313,1.11134,1.09204,1.09828
152,2015-08-03,1.09704,1.09952,1.09405,1.09494
153,2015-08-04,1.09489,1.09868,1.08783,1.08802
154,2015-08-05,1.08801,1.09381,1.08474,1.09049
155,2015-08-06,1.09049,1.09429,1.08729,1.09243
156,2015-08-07,1.0924,1.09775,1.08545,1.09624
157,2015-08-10,1.09627,1.10407,1.09246,1.10177
158,2015-08-11,1.10185,1.10875,1.09598,1.10409
159,2015-08-12,1.1041,1.12132,1.10236,1.11565
160,2015-08-13,1.11566,1.11882,1.10792,1.1149
161,2015-08-14,1.11485,1.1188,1.10971,1.11104
162,2015-08-17,1.11156,1.11241,1.10579,1.10767
163,2015-08-18,1.10767,1.10931,1.10163,1.1023
164,2015-08-19,1.1023,1.11336,1.10167,1.11187
