"Date","Price","Open","High","Low","Change %"
"Sep 30, 2021","1.6022","1.6156","1.6170","1.5976","-0.79%"
"Sep 29, 2021","1.6149","1.6146","1.6186","1.6063","0.07%"
"Sep 28, 2021","1.6138","1.6053","1.6168","1.5998","0.57%"
"Sep 27, 2021","1.6046","1.6140","1.6186","1.6037","-0.54%"
"Sep 24, 2021","1.6133","1.6088","1.6179","1.6050","0.31%"
"Sep 23, 2021","1.6083","1.6128","1.6200","1.6056","-0.26%"
"Sep 22, 2021","1.6125","1.6217","1.6230","1.6099","-0.51%"
"Sep 21, 2021","1.6208","1.6182","1.6238","1.6107","0.29%"
"Sep 20, 2021","1.6161","1.6133","1.6219","1.6114","0.16%"
"Sep 17, 2021","1.6135","1.6134","1.6155","1.6085","0.00%"
"Sep 16, 2021","1.6135","1.6109","1.6174","1.6058","0.18%"
"Sep 15, 2021","1.6106","1.6119","1.6171","1.6100","-0.11%"
"Sep 14, 2021","1.6123","1.6031","1.6144","1.6016","0.58%"
"Sep 13, 2021","1.6030","1.6055","1.6078","1.5991","-0.17%"
"Sep 10, 2021","1.6058","1.6050","1.6074","1.5970","0.06%"
"Sep 09, 2021","1.6049","1.6044","1.6083","1.5974","0.07%"
"Sep 08, 2021","1.6037","1.6030","1.6091","1.6001","0.11%"
"Sep 07, 2021","1.6019","1.5954","1.6057","1.5907","0.44%"
"Sep 06, 2021","1.5949","1.5927","1.5984","1.5913","0.13%"
"Sep 03, 2021","1.5928","1.6047","1.6068","1.5891","-0.71%"
"Sep 02, 2021","1.6042","1.6074","1.6098","1.6002","-0.14%"
"Sep 01, 2021","1.6065","1.6143","1.6156","1.6051","-0.44%"
"Aug 31, 2021","1.6136","1.6169","1.6199","1.6111","-0.15%"
"Aug 30, 2021","1.6160","1.6133","1.6194","1.6112","0.21%"
"Aug 27, 2021","1.6126","1.6238","1.6269","1.6120","-0.63%"
"Aug 26, 2021","1.6229","1.6179","1.6245","1.6167","0.34%"
"Aug 25, 2021","1.6174","1.6196","1.6226","1.6164","-0.10%"
"Aug 24, 2021","1.6191","1.6293","1.6306","1.6170","-0.59%"
"Aug 23, 2021","1.6287","1.6409","1.6446","1.6269","-0.64%"
"Aug 20, 2021","1.6392","1.6336","1.6441","1.6322","0.37%"
"Aug 19, 2021","1.6332","1.6193","1.6358","1.6154","0.88%"
"Aug 18, 2021","1.6190","1.6151","1.6197","1.6114","0.28%"
"Aug 17, 2021","1.6144","1.6048","1.6170","1.6041","0.60%"
"Aug 16, 2021","1.6047","1.6010","1.6091","1.5991","0.32%"
"Aug 13, 2021","1.5996","1.5989","1.6022","1.5975","0.05%"
"Aug 12, 2021","1.5988","1.5920","1.6003","1.5912","0.45%"
"Aug 11, 2021","1.5917","1.5943","1.5997","1.5898","-0.14%"
"Aug 10, 2021","1.5939","1.6005","1.6041","1.5927","-0.39%"
"Aug 09, 2021","1.6001","1.5997","1.6027","1.5963","0.11%"
"Aug 06, 2021","1.5983","1.5981","1.6020","1.5949","0.04%"
"Aug 05, 2021","1.5976","1.6039","1.6049","1.5961","-0.36%"
"Aug 04, 2021","1.6034","1.6039","1.6063","1.5964","0.04%"
"Aug 03, 2021","1.6027","1.6123","1.6136","1.6032","-0.57%"
"Aug 02, 2021","1.6119","1.6163","1.6192","1.6093","-0.24%"
"Jul 30, 2021","1.6158","1.6073","1.6178","1.6057","0.55%"
"Jul 29, 2021","1.6069","1.6057","1.6106","1.6020","0.12%"
"Jul 28, 2021","1.6050","1.6051","1.6104","1.6025","0.04%"
"Jul 27, 2021","1.6043","1.5980","1.6090","1.5976","0.41%"
"Jul 26, 2021","1.5978","1.5981","1.6064","1.5964","0.03%"
"Jul 23, 2021","1.5974","1.5949","1.6004","1.5901","0.16%"
"Jul 22, 2021","1.5949","1.6027","1.6057","1.5929","-0.46%"
"Jul 21, 2021","1.6022","1.6070","1.6135","1.6025","-0.24%"
"Jul 20, 2021","1.6061","1.6068","1.6119","1.6037","0.02%"
"Jul 19, 2021","1.6058","1.5953","1.6125","1.5921","0.72%"
"Jul 16, 2021","1.5944","1.5905","1.5972","1.5870","0.28%"
"Jul 15, 2021","1.5900","1.5823","1.5929","1.5808","0.52%"
"Jul 14, 2021","1.5818","1.5809","1.5848","1.5773","0.09%"
"Jul 13, 2021","1.5804","1.5867","1.5889","1.5800","-0.36%"
"Jul 12, 2021","1.5861","1.5859","1.5917","1.5825","0.02%"
"Jul 09, 2021","1.5858","1.5943","1.5979","1.5843","-0.50%"
"Jul 08, 2021","1.5938","1.5761","1.5981","1.5743","1.17%"
"Jul 07, 2021","1.5754","1.5771","1.5800","1.5701","-0.08%"
"Jul 06, 2021","1.5767","1.5754","1.5791","1.5613","0.11%"
"Jul 05, 2021","1.5750","1.5764","1.5790","1.5745","-0.08%"
"Jul 02, 2021","1.5762","1.5862","1.5880","1.5754","-0.60%"
"Jul 01, 2021","1.5857","1.5813","1.5882","1.5797","0.33%"
"Jun 30, 2021","1.5805","1.5838","1.5864","1.5786","-0.18%"
"Jun 29, 2021","1.5833","1.5759","1.5849","1.5753","0.50%"
"Jun 28, 2021","1.5754","1.5730","1.5775","1.5692","0.18%"
"Jun 25, 2021","1.5726","1.5734","1.5746","1.5704","-0.03%"
"Jun 24, 2021","1.5730","1.5743","1.5773","1.5721","-0.05%"
"Jun 23, 2021","1.5738","1.5805","1.5823","1.5736","-0.40%"
"Jun 22, 2021","1.5801","1.5813","1.5876","1.5790","-0.04%"
"Jun 21, 2021","1.5807","1.5857","1.5874","1.5779","-0.32%"
"Jun 18, 2021","1.5858","1.5770","1.5869","1.5751","0.59%"
"Jun 17, 2021","1.5765","1.5761","1.5793","1.5687","0.05%"
"Jun 16, 2021","1.5757","1.5774","1.5795","1.5707","-0.04%"
"Jun 15, 2021","1.5764","1.5714","1.5796","1.5702","0.34%"
"Jun 14, 2021","1.5710","1.5722","1.5736","1.5684","0.03%"
"Jun 11, 2021","1.5706","1.5695","1.5737","1.5656","0.08%"
"Jun 10, 2021","1.5694","1.5754","1.5770","1.5690","-0.37%"
"Jun 09, 2021","1.5752","1.5725","1.5775","1.5710","0.21%"
"Jun 08, 2021","1.5719","1.5710","1.5759","1.5703","0.01%"
"Jun 07, 2021","1.5718","1.5718","1.5746","1.5664","-0.01%"
"Jun 04, 2021","1.5719","1.5836","1.5853","1.5704","-0.69%"
"Jun 03, 2021","1.5828","1.5748","1.5855","1.5745","0.53%"
"Jun 02, 2021","1.5745","1.5747","1.5805","1.5726","0.01%"
"Jun 01, 2021","1.5744","1.5807","1.5818","1.5743","-0.37%"
"May 31, 2021","1.5803","1.5805","1.5833","1.5747","0.01%"
"May 28, 2021","1.5802","1.5740","1.5836","1.5723","0.41%"
"May 27, 2021","1.5737","1.5752","1.5778","1.5721","-0.06%"
"May 26, 2021","1.5747","1.5806","1.5820","1.5719","-0.35%"
"May 25, 2021","1.5802","1.5755","1.5818","1.5742","0.34%"
"May 24, 2021","1.5749","1.5750","1.5824","1.5737","0.00%"
"May 21, 2021","1.5749","1.5726","1.5802","1.5680","0.18%"
"May 20, 2021","1.5721","1.5749","1.5775","1.5695","-0.16%"
"May 19, 2021","1.5746","1.5683","1.5797","1.5673","0.44%"
"May 18, 2021","1.5677","1.5659","1.5695","1.5602","0.24%"
"May 17, 2021","1.5640","1.5604","1.5705","1.5586","0.18%"
"May 14, 2021","1.5612","1.5627","1.5674","1.5590","-0.07%"
"May 13, 2021","1.5623","1.5624","1.5694","1.5600","0.01%"
"May 12, 2021","1.5622","1.5490","1.5646","1.5480","0.89%"
"May 11, 2021","1.5484","1.5489","1.5548","1.5476","-0.01%"
"May 10, 2021","1.5486","1.5491","1.5510","1.5417","-0.10%"
"May 07, 2021","1.5502","1.5509","1.5560","1.5467","-0.01%"
"May 06, 2021","1.5504","1.5495","1.5580","1.5476","0.08%"
"May 05, 2021","1.5492","1.5589","1.5595","1.5480","-0.61%"
"May 04, 2021","1.5587","1.5543","1.5646","1.5525","0.32%"
"May 03, 2021","1.5537","1.5575","1.5611","1.5531","-0.22%"
"Apr 30, 2021","1.5571","1.5608","1.5619","1.5553","-0.21%"
"Apr 29, 2021","1.5604","1.5565","1.5628","1.5534","0.32%"
"Apr 28, 2021","1.5554","1.5569","1.5638","1.5538","-0.04%"
"Apr 27, 2021","1.5561","1.5488","1.5575","1.5479","0.50%"
"Apr 26, 2021","1.5484","1.5624","1.5636","1.5457","-0.85%"
"Apr 23, 2021","1.5616","1.5588","1.5627","1.5539","0.19%"
"Apr 22, 2021","1.5586","1.5523","1.5606","1.5503","0.43%"
"Apr 21, 2021","1.5520","1.5579","1.5612","1.5501","-0.35%"
"Apr 20, 2021","1.5575","1.5515","1.5602","1.5439","0.43%"
"Apr 19, 2021","1.5508","1.5476","1.5532","1.5446","0.10%"
