Date,Close,Trend
1/1/2021,1.22241,Sideway
4/1/2021,1.2249,Sideway
5/1/2021,1.22921,Sideway
6/1/2021,1.23215,Sideway
7/1/2021,1.22676,Sideway
8/1/2021,1.22202,Sideway
11/1/2021,1.21482,Sideway
12/1/2021,1.22031,Down
13/1/2021,1.21539,Sideway
14/1/2021,1.2153,Sideway
15/1/2021,1.20743,Down
18/1/2021,1.20763,Down
19/1/2021,1.21255,Down
20/1/2021,1.21044,Sideway
21/1/2021,1.21611,Sideway
22/1/2021,1.21701,Sideway
25/1/2021,1.21383,Sideway
26/1/2021,1.21581,Sideway
27/1/2021,1.21115,Sideway
28/1/2021,1.21169,Sideway
29/1/2021,1.2136,Sideway
1/2/2021,1.20569,Sideway
2/2/2021,1.20402,Down
3/2/2021,1.20329,Down
4/2/2021,1.19595,Sideway
5/2/2021,1.20472,Sideway
8/2/2021,1.20453,Sideway
9/2/2021,1.21185,Sideway
10/2/2021,1.21147,Sideway
11/2/2021,1.21262,Sideway
12/2/2021,1.21174,Sideway
15/2/2021,1.21249,Sideway
16/2/2021,1.21027,Sideway
17/2/2021,1.20339,Sideway
18/2/2021,1.20851,Sideway
19/2/2021,1.21162,Sideway
22/2/2021,1.21507,Sideway
23/2/2021,1.21459,Sideway
24/2/2021,1.21617,Sideway
25/2/2021,1.21683,Sideway
26/2/2021,1.20719,Sideway
1/3/2021,1.20451,Sideway
2/3/2021,1.20863,Down
3/3/2021,1.20605,Sideway
4/3/2021,1.19627,Sideway
5/3/2021,1.1908,Down
8/3/2021,1.18444,Sideway
9/3/2021,1.18974,Sideway
10/3/2021,1.19251,Sideway
11/3/2021,1.19811,Sideway
12/3/2021,1.19517,Sideway
15/3/2021,1.19267,Sideway
16/3/2021,1.19003,Sideway
17/3/2021,1.19795,Sideway
18/3/2021,1.19133,Sideway
19/3/2021,1.19037,Sideway
22/3/2021,1.19326,Sideway
23/3/2021,1.18503,Sideway
24/3/2021,1.18117,Sideway
25/3/2021,1.17678,Down
26/3/2021,1.17921,Sideway
