Date,Price,Open,High,Low,Vol.,Change %
"Sep 30, 2021",454.81,456.54,459.35,454.11,228.93M,-0.05%
"Sep 29, 2021",455.03,453.11,457.5,453.11,202.03M,0.59%
"Sep 28, 2021",452.35,461.98,461.98,451.67,215.55M,-2.18%
"Sep 27, 2021",462.42,464.45,466.73,461.94,208.84M,-0.19%
"Sep 24, 2021",463.29,466.8,466.8,462.57,177.41M,-0.90%
"Sep 23, 2021",467.5,464.46,468.74,464.46,176.99M,0.93%
"Sep 22, 2021",463.2,459.61,463.41,459.61,167.03M,0.99%
"Sep 21, 2021",458.68,454.05,460.2,454.05,189.96M,1.00%
"Sep 20, 2021",454.12,458.94,458.94,450.25,234.50M,-1.67%
"Sep 17, 2021",461.84,465.94,469.78,461.29,423.20M,-0.88%
"Sep 16, 2021",465.95,463.9,467.98,463.9,172.69M,0.44%
"Sep 15, 2021",463.91,467.68,468.08,463.91,189.65M,-0.80%
"Sep 14, 2021",467.65,467.57,468.98,465.69,159.94M,-0.01%
"Sep 13, 2021",467.69,466.47,470,466.47,143.75M,0.29%
"Sep 10, 2021",466.34,467.68,469.11,465.76,145.36M,-0.26%
"Sep 09, 2021",467.57,468.09,469.33,463.82,162.00M,-0.06%
"Sep 08, 2021",467.87,472.68,472.68,466.44,163.15M,-1.06%
"Sep 07, 2021",472.87,475.1,475.1,472.62,122.85M,-0.49%
"Sep 06, 2021",475.19,471.74,475.65,471.74,89.34M,0.69%
"Sep 03, 2021",471.93,474.37,474.62,470.01,136.04M,-0.56%
"Sep 02, 2021",474.6,472.95,474.81,472.83,132.42M,0.31%
"Sep 01, 2021",473.12,471.74,475.13,471.74,149.15M,0.48%
"Aug 31, 2021",470.88,472.85,473.94,469.72,219.33M,-0.38%
"Aug 30, 2021",472.68,472.47,473.15,471.95,42.49M,0.07%
"Aug 27, 2021",472.34,470.02,472.4,469.42,106.40M,0.43%
"Aug 26, 2021",470.34,470.87,471.18,468.38,109.34M,-0.32%
"Aug 25, 2021",471.84,471.75,472.58,471.28,124.35M,0.01%
"Aug 24, 2021",471.79,472.76,473.66,470.03,128.33M,-0.02%
"Aug 23, 2021",471.88,470.18,472.29,469.52,136.52M,0.66%
"Aug 20, 2021",468.8,467.14,469.31,464.92,157.28M,0.33%
"Aug 19, 2021",467.24,472.47,472.47,463.36,185.62M,-1.51%
"Aug 18, 2021",474.42,473.98,474.63,473.13,171.52M,0.14%
"Aug 17, 2021",473.78,472.8,474.25,470.79,163.32M,0.07%
"Aug 16, 2021",473.45,474.82,474.82,471.93,143.89M,-0.50%
"Aug 13, 2021",475.83,474.61,476.16,474.61,132.28M,0.21%
"Aug 12, 2021",474.84,473.76,475.13,473.76,158.40M,0.11%
"Aug 11, 2021",474.32,472.44,474.82,472.1,166.59M,0.42%
"Aug 10, 2021",472.32,470.76,472.95,470.76,142.43M,0.35%
"Aug 09, 2021",470.68,469.88,471.06,469.67,139.45M,0.15%
"Aug 06, 2021",469.97,469.91,471.03,469.08,183.90M,0.00%
"Aug 05, 2021",469.96,467.96,470.23,467.93,165.07M,0.37%
"Aug 04, 2021",468.22,466.35,468.84,466.35,151.18M,0.61%
"Aug 03, 2021",465.38,464.48,466.27,463.89,146.53M,0.20%
"Aug 02, 2021",464.45,462.4,465.84,462.4,140.73M,0.59%
"Jul 30, 2021",461.74,462.69,463.4,459.55,178.65M,-0.45%
"Jul 29, 2021",463.84,462.12,464.31,462.12,177.95M,0.46%
"Jul 28, 2021",461.7,458.86,461.71,458.86,148.86M,0.66%
"Jul 27, 2021",458.65,461,461,456.23,136.93M,-0.54%
"Jul 26, 2021",461.14,461,461.53,458.64,138.66M,-0.08%
"Jul 23, 2021",461.51,457.49,461.75,457.49,130.10M,1.09%
"Jul 22, 2021",456.53,455.3,458.54,455.3,137.19M,0.56%
"Jul 21, 2021",453.97,447.81,454.28,447.81,181.01M,1.65%
"Jul 20, 2021",446.61,445.18,449.17,443.4,199.04M,0.52%
"Jul 19, 2021",444.29,453.24,453.24,442.13,215.25M,-2.30%
"Jul 16, 2021",454.74,456.38,457.76,452.85,162.57M,-0.32%
"Jul 15, 2021",456.2,459.96,460,455.46,149.79M,-0.95%
"Jul 14, 2021",460.56,460.76,461.17,458.88,148.62M,-0.09%
"Jul 13, 2021",460.96,460.92,461.38,459.87,146.77M,0.03%
"Jul 12, 2021",460.83,458.11,461.1,455.97,122.70M,0.69%
"Jul 09, 2021",457.67,452.45,457.67,452.45,158.97M,1.34%
"Jul 08, 2021",451.61,458.68,458.68,448.93,211.15M,-1.72%
"Jul 07, 2021",459.53,456.53,459.63,456.53,204.65M,0.78%
"Jul 06, 2021",455.98,458.38,459.46,454.85,165.80M,-0.52%
"Jul 05, 2021",458.36,456.98,458.69,455.26,102.59M,0.34%
"Jul 02, 2021",456.81,456.15,458.31,455.89,130.25M,0.26%
"Jul 01, 2021",455.63,453.59,457.7,452.28,154.34M,0.62%
"Jun 30, 2021",452.84,456.27,456.94,451.23,183.56M,-0.77%
"Jun 29, 2021",456.37,454.92,457.85,454.85,147.06M,0.31%
"Jun 28, 2021",454.94,457.71,458.09,454.88,154.48M,-0.59%
"Jun 25, 2021",457.63,457.47,457.66,456.44,141.14M,0.13%
"Jun 24, 2021",457.04,453.47,457.54,453.47,167.60M,0.87%
"Jun 23, 2021",453.1,456.86,457.42,453.1,143.52M,-0.73%
"Jun 22, 2021",456.42,455.65,456.93,453.67,141.75M,0.26%
"Jun 21, 2021",455.23,450.87,455.37,448.4,188.36M,0.70%
"Jun 18, 2021",452.05,458.71,459.62,451.77,408.71M,-1.58%
"Jun 17, 2021",459.33,458.87,459.93,457.65,186.06M,-0.12%
"Jun 16, 2021",459.86,459.16,460.45,458.66,175.03M,0.23%
"Jun 15, 2021",458.81,458.93,460.31,458.81,173.99M,0.11%
"Jun 14, 2021",458.32,458.13,460.51,457.61,138.75M,0.18%
"Jun 11, 2021",457.51,455.08,457.87,454.98,131.96M,0.65%
"Jun 10, 2021",454.56,454.73,455.76,452.7,154.36M,0.03%
"Jun 09, 2021",454.44,454.21,454.68,452.82,139.84M,0.09%
"Jun 08, 2021",454.01,453.62,455.66,453.43,158.65M,0.10%
"Jun 07, 2021",453.56,452.39,454.31,450.71,187.05M,0.22%
"Jun 04, 2021",452.57,451.17,452.71,450.45,129.79M,0.39%
"Jun 03, 2021",450.79,451.45,451.45,447.82,154.43M,-0.12%
"Jun 02, 2021",451.34,450.21,451.97,450.17,146.83M,0.28%
"Jun 01, 2021",450.1,447.58,452.5,447.58,174.74M,0.75%
"May 31, 2021",446.76,448.83,449.08,446.71,63.50M,-0.49%
"May 28, 2021",448.98,446.98,450.07,446.98,186.88M,0.57%
"May 27, 2021",446.44,445.1,447.86,444.59,359.79M,0.27%
"May 26, 2021",445.22,445.47,446.8,444.04,169.17M,0.00%
"May 25, 2021",445.2,445.49,447.15,445.2,168.44M,0.03%
"May 24, 2021",445.07,444.25,445.32,443.79,118.59M,0.14%
"May 21, 2021",444.44,442.4,445.29,441.67,200.85M,0.57%
"May 20, 2021",441.9,437.14,441.9,436.07,169.99M,1.27%
"May 19, 2021",436.34,441.01,441.01,432.63,197.84M,-1.51%
"May 18, 2021",443.04,443.4,446.01,442.25,186.09M,0.17%
"May 17, 2021",442.29,443.02,444.25,440.4,161.06M,-0.05%
"May 14, 2021",442.53,438.58,442.56,438.17,195.56M,1.19%
"May 13, 2021",437.32,436.06,438.07,430.32,176.45M,-0.14%
"May 12, 2021",437.93,436.81,439.46,436.32,203.67M,0.30%
"May 11, 2021",436.61,444.43,444.43,434.02,234.85M,-1.97%
"May 10, 2021",445.39,445.71,446.19,444.38,201.18M,0.10%
"May 07, 2021",444.93,441.86,444.93,441.86,183.46M,0.89%
"May 06, 2021",441.02,441.23,443.05,438.65,228.48M,-0.12%
"May 05, 2021",441.55,435.21,441.6,435.21,189.96M,1.82%
"May 04, 2021",433.65,440.6,441.71,433.17,232.15M,-1.43%
"May 03, 2021",439.92,437.87,439.98,436.84,85.15M,0.58%
"Apr 30, 2021",437.39,438.78,439.84,437.18,213.00M,-0.31%
"Apr 29, 2021",438.77,440.64,442.66,437.85,204.03M,-0.26%
"Apr 28, 2021",439.92,439.66,441.02,438.68,206.10M,0.02%
"Apr 27, 2021",439.85,440.28,440.48,438.66,167.39M,-0.08%
"Apr 26, 2021",440.2,439.32,440.75,438.5,145.93M,0.26%
"Apr 23, 2021",439.04,439.2,439.6,436.57,148.58M,-0.13%
"Apr 22, 2021",439.63,437.24,439.81,437.24,170.16M,0.68%
"Apr 21, 2021",436.64,434.21,437.27,433.75,179.06M,0.65%
"Apr 20, 2021",433.8,441.2,441.57,433.35,210.25M,-1.90%
"Apr 19, 2021",442.18,442.44,443.61,441.53,149.75M,-0.07%
"Apr 16, 2021",442.49,438.29,442.51,438.29,198.49M,0.90%
"Apr 15, 2021",438.55,436.66,439.13,436.66,162.55M,0.45%
"Apr 14, 2021",436.57,436.28,437.15,435.73,156.29M,0.19%
"Apr 13, 2021",435.75,435.45,436.59,434.2,161.89M,0.12%
"Apr 12, 2021",435.24,437.01,437.04,435.01,153.27M,-0.46%
"Apr 09, 2021",437.23,436.67,437.65,436.1,164.37M,0.08%
"Apr 08, 2021",436.86,434.88,436.88,434.88,200.25M,0.58%
"Apr 07, 2021",434.32,434.57,435.63,433.69,171.95M,-0.22%
"Apr 06, 2021",435.26,433.29,436.47,433.29,204.33M,0.70%
"Apr 01, 2021",432.22,429.61,432.65,429.61,162.08M,0.61%
"Mar 31, 2021",429.6,430.85,431.76,429.6,218.63M,-0.24%
"Mar 30, 2021",430.65,428.14,431.08,428.14,186.10M,0.71%
"Mar 29, 2021",427.61,427.23,428.74,426.58,176.53M,0.16%
"Mar 26, 2021",426.93,424.19,427.21,424.19,199.10M,0.91%
"Mar 25, 2021",423.08,422.38,423.57,419.05,197.37M,-0.07%
"Mar 24, 2021",423.39,421.95,423.69,420.36,207.48M,0.02%
"Mar 23, 2021",423.31,423.4,424.34,420.94,222.83M,-0.20%
"Mar 22, 2021",424.17,422.53,424.36,420.73,205.45M,0.19%
"Mar 19, 2021",423.35,424.95,426.02,421.4,509.00M,-0.76%
"Mar 18, 2021",426.59,425.41,427.26,424.79,244.18M,0.40%
"Mar 17, 2021",424.91,426.58,426.98,424.12,217.73M,-0.45%
"Mar 16, 2021",426.82,424.08,426.96,424.08,221.97M,0.88%
"Mar 15, 2021",423.08,423.97,426.13,421.95,194.02M,0.00%
"Mar 12, 2021",423.08,423.43,423.43,421.68,198.58M,-0.26%
"Mar 11, 2021",424.17,422.68,424.23,422.55,231.05M,0.49%
"Mar 10, 2021",422.11,419.96,422.71,418.66,226.42M,0.40%
"Mar 09, 2021",420.41,417.34,421.05,416.19,258.44M,0.76%
"Mar 08, 2021",417.25,410.23,417.62,410.23,258.76M,2.10%
"Mar 05, 2021",408.68,410.62,413.19,407.14,257.58M,-0.78%
"Mar 04, 2021",411.91,411.71,412.84,409.03,233.11M,-0.37%
"Mar 03, 2021",413.42,413.8,416.69,410.55,242.88M,0.05%
"Mar 02, 2021",413.23,412.06,415.37,411.33,185.75M,0.19%
"Mar 01, 2021",412.44,408.25,412.76,408.25,193.94M,1.84%
"Feb 26, 2021",404.99,408.98,410.64,404.04,299.83M,-1.64%
