"Date","Price","Open","High","Low","Change %"
"Sep 30, 2021","1.2678","1.2756","1.2764","1.2628","-0.60%"
"Sep 29, 2021","1.2754","1.2687","1.2775","1.2666","0.54%"
"Sep 28, 2021","1.2685","1.2628","1.2708","1.2591","0.46%"
"Sep 27, 2021","1.2627","1.2655","1.2674","1.2608","-0.20%"
"Sep 24, 2021","1.2652","1.2652","1.2731","1.2638","-0.02%"
"Sep 23, 2021","1.2655","1.2772","1.2797","1.2630","-0.90%"
"Sep 22, 2021","1.2770","1.2824","1.2833","1.2696","-0.35%"
"Sep 21, 2021","1.2815","1.2826","1.2850","1.2740","-0.08%"
"Sep 20, 2021","1.2825","1.2765","1.2896","1.2759","0.46%"
"Sep 17, 2021","1.2766","1.2680","1.2773","1.2636","0.67%"
"Sep 16, 2021","1.2681","1.2637","1.2700","1.2614","0.38%"
"Sep 15, 2021","1.2633","1.2694","1.2709","1.2622","-0.47%"
"Sep 14, 2021","1.2693","1.2651","1.2700","1.2598","0.33%"
"Sep 13, 2021","1.2651","1.2686","1.2696","1.2635","-0.30%"
"Sep 10, 2021","1.2689","1.2664","1.2695","1.2580","0.21%"
"Sep 09, 2021","1.2662","1.2690","1.2729","1.2620","-0.21%"
"Sep 08, 2021","1.2689","1.2645","1.2763","1.2624","0.33%"
"Sep 07, 2021","1.2647","1.2536","1.2657","1.2517","0.88%"
"Sep 06, 2021","1.2537","1.2526","1.2560","1.2515","0.09%"
"Sep 03, 2021","1.2526","1.2553","1.2563","1.2491","-0.20%"
"Sep 02, 2021","1.2551","1.2620","1.2639","1.2546","-0.52%"
"Sep 01, 2021","1.2616","1.2622","1.2638","1.2578","0.02%"
"Aug 31, 2021","1.2614","1.2606","1.2655","1.2567","0.10%"
"Aug 30, 2021","1.2601","1.2622","1.2636","1.2571","-0.20%"
"Aug 27, 2021","1.2626","1.2688","1.2709","1.2603","-0.44%"
"Aug 26, 2021","1.2682","1.2592","1.2697","1.2584","0.74%"
"Aug 25, 2021","1.2589","1.2587","1.2644","1.2584","0.00%"
"Aug 24, 2021","1.2589","1.2649","1.2662","1.2576","-0.44%"
"Aug 23, 2021","1.2645","1.2821","1.2842","1.2640","-1.37%"
"Aug 20, 2021","1.2821","1.2825","1.2950","1.2812","-0.04%"
"Aug 19, 2021","1.2826","1.2656","1.2831","1.2646","1.35%"
"Aug 18, 2021","1.2655","1.2630","1.2664","1.2595","0.20%"
"Aug 17, 2021","1.2630","1.2573","1.2650","1.2565","0.46%"
"Aug 16, 2021","1.2572","1.2519","1.2586","1.2510","0.47%"
"Aug 13, 2021","1.2513","1.2527","1.2535","1.2499","-0.10%"
"Aug 12, 2021","1.2525","1.2506","1.2534","1.2498","0.15%"
"Aug 11, 2021","1.2506","1.2524","1.2550","1.2486","-0.10%"
"Aug 10, 2021","1.2519","1.2574","1.2591","1.2516","-0.44%"
"Aug 09, 2021","1.2574","1.2552","1.2588","1.2529","0.18%"
"Aug 06, 2021","1.2552","1.2509","1.2582","1.2491","0.36%"
"Aug 05, 2021","1.2507","1.2536","1.2549","1.2472","-0.22%"
"Aug 04, 2021","1.2534","1.2538","1.2564","1.2513","-0.02%"
"Aug 03, 2021","1.2536","1.2512","1.2577","1.2487","0.22%"
"Aug 02, 2021","1.2509","1.2479","1.2516","1.2450","0.31%"
"Jul 30, 2021","1.2470","1.2447","1.2492","1.2420","0.21%"
"Jul 29, 2021","1.2444","1.2530","1.2540","1.2430","-0.66%"
"Jul 28, 2021","1.2527","1.2602","1.2606","1.2513","-0.58%"
"Jul 27, 2021","1.2600","1.2550","1.2606","1.2536","0.48%"
"Jul 26, 2021","1.2540","1.2564","1.2592","1.2525","-0.17%"
"Jul 23, 2021","1.2561","1.2567","1.2608","1.2553","-0.02%"
"Jul 22, 2021","1.2564","1.2560","1.2595","1.2527","0.10%"
"Jul 21, 2021","1.2552","1.2681","1.2731","1.2523","-0.99%"
"Jul 20, 2021","1.2677","1.2750","1.2787","1.2671","-0.56%"
"Jul 19, 2021","1.2748","1.2610","1.2809","1.2605","1.09%"
"Jul 16, 2021","1.2611","1.2593","1.2622","1.2559","0.15%"
"Jul 15, 2021","1.2592","1.2508","1.2615","1.2499","0.69%"
"Jul 14, 2021","1.2506","1.2511","1.2527","1.2429","-0.03%"
"Jul 13, 2021","1.2510","1.2454","1.2541","1.2440","0.47%"
"Jul 12, 2021","1.2451","1.2442","1.2515","1.2442","0.04%"
"Jul 09, 2021","1.2446","1.2532","1.2558","1.2441","-0.69%"
"Jul 08, 2021","1.2532","1.2478","1.2592","1.2473","0.44%"
"Jul 07, 2021","1.2477","1.2463","1.2521","1.2420","0.12%"
"Jul 06, 2021","1.2462","1.2342","1.2495","1.2300","1.01%"
"Jul 05, 2021","1.2338","1.2320","1.2372","1.2309","0.15%"
"Jul 02, 2021","1.2319","1.2439","1.2451","1.2306","-0.94%"
"Jul 01, 2021","1.2436","1.2399","1.2447","1.2362","0.34%"
"Jun 30, 2021","1.2394","1.2402","1.2425","1.2353","-0.06%"
"Jun 29, 2021","1.2401","1.2337","1.2404","1.2329","0.54%"
"Jun 28, 2021","1.2335","1.2294","1.2349","1.2285","0.33%"
"Jun 25, 2021","1.2294","1.2326","1.2330","1.2269","-0.23%"
"Jun 24, 2021","1.2322","1.2310","1.2342","1.2280","0.14%"
"Jun 23, 2021","1.2305","1.2307","1.2329","1.2250","0.00%"
"Jun 22, 2021","1.2305","1.2363","1.2404","1.2300","-0.44%"
"Jun 21, 2021","1.2359","1.2465","1.2487","1.2351","-0.83%"
"Jun 18, 2021","1.2462","1.2360","1.2481","1.2336","0.82%"
"Jun 17, 2021","1.2361","1.2277","1.2379","1.2260","0.69%"
"Jun 16, 2021","1.2276","1.2183","1.2284","1.2154","0.79%"
"Jun 15, 2021","1.2180","1.2144","1.2205","1.2127","0.32%"
"Jun 14, 2021","1.2141","1.2149","1.2172","1.2126","-0.12%"
"Jun 11, 2021","1.2155","1.2093","1.2178","1.2078","0.50%"
"Jun 10, 2021","1.2094","1.2112","1.2126","1.2068","-0.12%"
"Jun 09, 2021","1.2109","1.2111","1.2119","1.2056","-0.01%"
"Jun 08, 2021","1.2110","1.2081","1.2119","1.2068","0.26%"
"Jun 07, 2021","1.2079","1.2075","1.2108","1.2054","0.00%"
"Jun 04, 2021","1.2079","1.2107","1.2134","1.2068","-0.19%"
"Jun 03, 2021","1.2102","1.2034","1.2120","1.2027","0.58%"
"Jun 02, 2021","1.2032","1.2071","1.2092","1.2027","-0.31%"
"Jun 01, 2021","1.2070","1.2064","1.2079","1.2004","0.07%"
"May 31, 2021","1.2062","1.2070","1.2092","1.2044","-0.05%"
"May 28, 2021","1.2068","1.2063","1.2121","1.2061","0.03%"
"May 27, 2021","1.2064","1.2120","1.2142","1.2054","-0.44%"
"May 26, 2021","1.2117","1.2070","1.2128","1.2041","0.46%"
"May 25, 2021","1.2062","1.2045","1.2079","1.2027","0.19%"
"May 24, 2021","1.2039","1.2061","1.2086","1.2038","-0.22%"
"May 21, 2021","1.2066","1.2061","1.2096","1.2025","0.07%"
"May 20, 2021","1.2058","1.2127","1.2146","1.2047","-0.60%"
"May 19, 2021","1.2131","1.2066","1.2143","1.2052","0.56%"
"May 18, 2021","1.2064","1.2068","1.2082","1.2011","-0.02%"
"May 17, 2021","1.2066","1.2098","1.2138","1.2058","-0.30%"
"May 14, 2021","1.2102","1.2159","1.2180","1.2078","-0.48%"
"May 13, 2021","1.2160","1.2133","1.2204","1.2102","0.24%"
"May 12, 2021","1.2131","1.2102","1.2139","1.2044","0.26%"
"May 11, 2021","1.2099","1.2097","1.2126","1.2077","0.02%"
"May 10, 2021","1.2097","1.2157","1.2157","1.2076","-0.27%"
"May 07, 2021","1.2130","1.2148","1.2194","1.2123","-0.15%"
"May 06, 2021","1.2148","1.2268","1.2290","1.2143","-0.95%"
"May 05, 2021","1.2264","1.2307","1.2316","1.2250","-0.37%"
"May 04, 2021","1.2309","1.2277","1.2352","1.2272","0.27%"
"May 03, 2021","1.2276","1.2289","1.2319","1.2264","-0.11%"
"Apr 30, 2021","1.2289","1.2282","1.2323","1.2264","0.08%"
"Apr 29, 2021","1.2279","1.2316","1.2326","1.2273","-0.27%"
"Apr 28, 2021","1.2312","1.2399","1.2419","1.2308","-0.65%"
"Apr 27, 2021","1.2393","1.2398","1.2420","1.2386","-0.02%"
"Apr 26, 2021","1.2395","1.2482","1.2492","1.2381","-0.64%"
"Apr 23, 2021","1.2475","1.2508","1.2510","1.2459","-0.23%"
"Apr 22, 2021","1.2504","1.2497","1.2536","1.2470","0.06%"
"Apr 21, 2021","1.2496","1.2609","1.2653","1.2457","-0.88%"
"Apr 20, 2021","1.2607","1.2533","1.2624","1.2476","0.60%"
"Apr 19, 2021","1.2532","1.2494","1.2545","1.2469","0.22%"
"Apr 16, 2021","1.2504","1.2542","1.2560","1.2492","-0.30%"
"Apr 15, 2021","1.2541","1.2521","1.2560","1.2474","0.17%"
"Apr 14, 2021","1.2520","1.2536","1.2577","1.2498","-0.09%"
"Apr 13, 2021","1.2531","1.2562","1.2630","1.2525","-0.24%"
"Apr 12, 2021","1.2561","1.2534","1.2575","1.2525","0.27%"
"Apr 09, 2021","1.2527","1.2563","1.2613","1.2523","-0.28%"
"Apr 08, 2021","1.2562","1.2607","1.2628","1.2556","-0.36%"
"Apr 07, 2021","1.2607","1.2566","1.2636","1.2562","0.35%"
"Apr 06, 2021","1.2563","1.2524","1.2584","1.2514","0.34%"
"Apr 05, 2021","1.2521","1.2576","1.2595","1.2499","-0.41%"
"Apr 02, 2021","1.2573","1.2547","1.2582","1.2525","0.22%"
"Apr 01, 2021","1.2545","1.2562","1.2603","1.2541","-0.10%"
"Mar 31, 2021","1.2558","1.2633","1.2636","1.2537","-0.60%"
"Mar 30, 2021","1.2634","1.2591","1.2648","1.2578","0.37%"
"Mar 29, 2021","1.2588","1.2574","1.2628","1.2569","0.10%"
"Mar 26, 2021","1.2576","1.2611","1.2614","1.2558","-0.27%"
"Mar 25, 2021","1.2610","1.2577","1.2630","1.2544","0.28%"
"Mar 24, 2021","1.2575","1.2585","1.2609","1.2540","-0.08%"
"Mar 23, 2021","1.2585","1.2519","1.2596","1.2514","0.52%"
"Mar 22, 2021","1.2520","1.2502","1.2543","1.2471","0.18%"
"Mar 19, 2021","1.2497","1.2488","1.2549","1.2459","0.10%"
"Mar 18, 2021","1.2484","1.2405","1.2528","1.2363","0.68%"
"Mar 17, 2021","1.2400","1.2448","1.2494","1.2399","-0.35%"
"Mar 16, 2021","1.2443","1.2471","1.2501","1.2433","-0.20%"
"Mar 15, 2021","1.2468","1.2471","1.2514","1.2441","-0.02%"
"Mar 12, 2021","1.2471","1.2532","1.2574","1.2459","-0.44%"
"Mar 11, 2021","1.2526","1.2617","1.2627","1.2518","-0.72%"
"Mar 10, 2021","1.2617","1.2637","1.2685","1.2607","-0.13%"
"Mar 09, 2021","1.2634","1.2663","1.2687","1.2588","-0.21%"
"Mar 08, 2021","1.2660","1.2662","1.2701","1.2620","0.04%"
"Mar 05, 2021","1.2655","1.2665","1.2738","1.2643","-0.08%"
"Mar 04, 2021","1.2665","1.2656","1.2694","1.2573","0.09%"
"Mar 03, 2021","1.2653","1.2633","1.2659","1.2590","0.17%"
"Mar 02, 2021","1.2631","1.2648","1.2700","1.2598","-0.11%"
"Mar 01, 2021","1.2645","1.2723","1.2740","1.2638","-0.74%"
"Feb 26, 2021","1.2739","1.2603","1.2751","1.2585","1.11%"
"Feb 25, 2021","1.2599","1.2512","1.2615","1.2466","0.70%"
"Feb 24, 2021","1.2511","1.2586","1.2599","1.2503","-0.60%"
"Feb 23, 2021","1.2587","1.2611","1.2648","1.2577","-0.18%"
"Feb 22, 2021","1.2610","1.2623","1.2655","1.2578","0.00%"
"Feb 19, 2021","1.2610","1.2679","1.2715","1.2592","-0.53%"
"Feb 18, 2021","1.2677","1.2704","1.2731","1.2663","-0.17%"
"Feb 17, 2021","1.2699","1.2689","1.2746","1.2683","0.10%"
"Feb 16, 2021","1.2686","1.2645","1.2703","1.2608","0.38%"
"Feb 15, 2021","1.2638","1.2694","1.2694","1.2628","-0.44%"
"Feb 12, 2021","1.2694","1.2702","1.2764","1.2674","-0.06%"
"Feb 11, 2021","1.2702","1.2699","1.2713","1.2658","0.02%"
"Feb 10, 2021","1.2699","1.2690","1.2714","1.2665","0.05%"
"Feb 09, 2021","1.2693","1.2739","1.2766","1.2690","-0.35%"
"Feb 08, 2021","1.2738","1.2767","1.2784","1.2733","-0.10%"
"Feb 05, 2021","1.2751","1.2828","1.2834","1.2749","-0.58%"
"Feb 04, 2021","1.2825","1.2785","1.2846","1.2775","0.34%"
"Feb 03, 2021","1.2781","1.2781","1.2813","1.2761","0.01%"
"Feb 02, 2021","1.2780","1.2851","1.2871","1.2778","-0.54%"
"Feb 01, 2021","1.2849","1.2777","1.2866","1.2759","0.56%"
"Jan 29, 2021","1.2777","1.2830","1.2876","1.2736","-0.40%"
"Jan 28, 2021","1.2828","1.2798","1.2882","1.2785","0.23%"
"Jan 27, 2021","1.2798","1.2694","1.2823","1.2683","0.86%"
"Jan 26, 2021","1.2689","1.2738","1.2783","1.2688","-0.38%"
"Jan 25, 2021","1.2738","1.2719","1.2780","1.2685","0.02%"
"Jan 22, 2021","1.2735","1.2637","1.2743","1.2631","0.81%"
"Jan 21, 2021","1.2633","1.2637","1.2649","1.2588","0.03%"
"Jan 20, 2021","1.2629","1.2737","1.2747","1.2604","-0.80%"
