,Date,Close
0,2015-01-01,53.78
1,2015-01-02,52.69
2,2015-01-05,49.91
3,2015-01-06,48.03
4,2015-01-07,48.78
5,2015-01-08,48.97
6,2015-01-09,48.2
7,2015-01-12,45.7
8,2015-01-13,46.13
9,2015-01-14,48.62
10,2015-01-15,46.24
11,2015-01-16,48.47
12,2015-01-19,48.47
13,2015-01-20,46.39
14,2015-01-21,47.35
15,2015-01-22,46.51
16,2015-01-23,45.33
17,2015-01-26,45.09
18,2015-01-27,45.78
19,2015-01-28,44.4
20,2015-01-29,44.6
21,2015-01-30,47.77
22,2015-02-02,49.84
23,2015-02-03,51.62
24,2015-02-04,48.7
25,2015-02-05,50.78
26,2015-02-06,52.2
27,2015-02-09,52.44
28,2015-02-10,50.97
29,2015-02-11,49.37
30,2015-02-12,51.25
31,2015-02-13,52.53
32,2015-02-16,52.53
33,2015-02-17,53.23
34,2015-02-18,50.54
35,2015-02-19,51.7
36,2015-02-20,50.97
37,2015-02-23,49.41
38,2015-02-24,49.11
39,2015-02-25,51.07
40,2015-02-26,48.92
41,2015-02-27,49.41
42,2015-03-02,49.76
43,2015-03-03,50.63
44,2015-03-04,51.64
45,2015-03-05,50.92
46,2015-03-06,49.81
47,2015-03-09,50.03
48,2015-03-10,48.71
49,2015-03-11,48.4
50,2015-03-12,46.94
51,2015-03-13,44.98
52,2015-03-16,43.86
53,2015-03-17,42.44
54,2015-03-18,44.7
55,2015-03-19,44.3
56,2015-03-20,45.72
57,2015-03-23,47.41
58,2015-03-24,47.65
59,2015-03-25,48.98
60,2015-03-26,50.97
61,2015-03-27,48.34
62,2015-03-30,48.73
63,2015-03-31,47.52
64,2015-04-01,49.61
65,2015-04-02,49.52
66,2015-04-03,49.52
67,2015-04-06,51.97
68,2015-04-07,53.27
69,2015-04-08,50.94
70,2015-04-09,50.73
71,2015-04-10,51.79
72,2015-04-13,52.0
73,2015-04-14,53.49
74,2015-04-15,55.96
75,2015-04-16,56.55
76,2015-04-17,56.12
77,2015-04-20,56.66
78,2015-04-21,55.26
79,2015-04-22,56.25
80,2015-04-23,57.47
81,2015-04-24,57.45
82,2015-04-27,56.68
83,2015-04-28,56.96
84,2015-04-29,58.6
85,2015-04-30,59.74
86,2015-05-01,59.24
87,2015-05-04,58.98
88,2015-05-05,60.67
89,2015-05-06,60.62
90,2015-05-07,58.98
91,2015-05-08,59.45
92,2015-05-11,59.3
93,2015-05-12,61.17
94,2015-05-13,60.11
95,2015-05-14,59.7
96,2015-05-15,59.84
97,2015-05-18,59.7
98,2015-05-19,57.26
99,2015-05-20,58.76
100,2015-05-21,60.67
101,2015-05-22,59.97
102,2015-05-25,59.97
103,2015-05-26,58.33
104,2015-05-27,57.59
105,2015-05-28,57.98
106,2015-05-29,60.3
107,2015-06-01,60.21
108,2015-06-02,61.05
109,2015-06-03,59.62
110,2015-06-04,57.99
111,2015-06-05,58.92
112,2015-06-08,58.31
113,2015-06-09,60.53
114,2015-06-10,61.11
115,2015-06-11,60.53
116,2015-06-12,59.97
117,2015-06-15,59.61
118,2015-06-16,60.05
119,2015-06-17,59.8
120,2015-06-18,60.51
121,2015-06-19,59.28
122,2015-06-22,59.68
123,2015-06-23,61.11
124,2015-06-24,60.22
125,2015-06-25,59.65
126,2015-06-26,59.58
127,2015-06-29,58.25
128,2015-06-30,59.0
129,2015-07-01,56.84
130,2015-07-02,56.5
131,2015-07-03,56.5
132,2015-07-06,52.68
133,2015-07-07,52.91
134,2015-07-08,51.86
135,2015-07-09,52.55
136,2015-07-10,52.81
137,2015-07-13,52.03
138,2015-07-14,53.37
139,2015-07-15,51.62
140,2015-07-16,50.98
141,2015-07-17,50.8
142,2015-07-20,49.88
143,2015-07-21,50.36
144,2015-07-22,49.19
145,2015-07-23,48.81
146,2015-07-24,47.97
147,2015-07-27,47.0
148,2015-07-28,47.8
149,2015-07-29,48.89
150,2015-07-30,48.45
151,2015-07-31,46.77
152,2015-08-03,45.31
153,2015-08-04,45.98
154,2015-08-05,45.16
155,2015-08-06,44.83
156,2015-08-07,43.79
157,2015-08-10,44.8
158,2015-08-11,43.23
159,2015-08-12,43.36
160,2015-08-13,42.22
161,2015-08-14,42.16
162,2015-08-17,41.86
163,2015-08-18,42.42
164,2015-08-19,40.5
165,2015-08-20,41.14
166,2015-08-21,40.35
167,2015-08-24,38.13
168,2015-08-25,39.58
169,2015-08-26,38.89
170,2015-08-27,42.81
171,2015-08-28,45.4
172,2015-08-31,48.16
173,2015-09-01,44.17
174,2015-09-02,46.06
175,2015-09-03,46.67
176,2015-09-04,45.7
177,2015-09-07,45.7
178,2015-09-08,45.75
179,2015-09-09,44.09
180,2015-09-10,45.7
181,2015-09-11,44.78
182,2015-09-14,44.16
183,2015-09-15,45.16
184,2015-09-16,47.18
185,2015-09-17,46.86
186,2015-09-18,44.77
187,2015-09-21,45.57
188,2015-09-22,45.83
189,2015-09-23,44.62
190,2015-09-24,45.1
191,2015-09-25,45.44
192,2015-09-28,44.45
193,2015-09-29,44.86
194,2015-09-30,45.41
195,2015-10-01,45.05
196,2015-10-02,45.66
197,2015-10-05,46.25
198,2015-10-06,49.05
199,2015-10-07,48.13
200,2015-10-08,49.65
201,2015-10-09,49.53
202,2015-10-12,47.44
203,2015-10-13,46.6
204,2015-10-14,46.3
205,2015-10-15,46.95
206,2015-10-16,47.27
207,2015-10-19,46.08
208,2015-10-20,45.55
209,2015-10-21,45.2
210,2015-10-22,45.42
211,2015-10-23,44.72
212,2015-10-26,43.77
213,2015-10-27,43.42
214,2015-10-28,46.19
215,2015-10-29,45.72
216,2015-10-30,46.42
217,2015-11-02,46.08
218,2015-11-03,47.7
219,2015-11-04,46.54
220,2015-11-05,45.32
221,2015-11-06,44.55
222,2015-11-09,44.1
223,2015-11-10,43.65
224,2015-11-11,42.99
225,2015-11-12,41.61
226,2015-11-13,40.75
227,2015-11-16,42.04
228,2015-11-17,41.06
229,2015-11-18,40.59
230,2015-11-19,40.53
231,2015-11-20,40.39
232,2015-11-23,42.03
233,2015-11-24,42.64
234,2015-11-25,43.2
235,2015-11-26,43.2
236,2015-11-27,41.76
237,2015-11-30,41.69
238,2015-12-01,41.66
239,2015-12-02,40.1
240,2015-12-03,41.28
241,2015-12-04,40.15
242,2015-12-07,37.64
243,2015-12-08,37.84
244,2015-12-09,37.23
245,2015-12-10,36.56
246,2015-12-11,35.36
247,2015-12-14,36.25
248,2015-12-15,36.74
249,2015-12-16,35.72
250,2015-12-17,34.72
251,2015-12-18,34.49
252,2015-12-21,34.74
253,2015-12-22,36.45
254,2015-12-23,37.89
255,2015-12-24,38.11
256,2015-12-25,38.11
257,2015-12-28,36.69
258,2015-12-29,37.36
259,2015-12-30,36.8
260,2015-12-31,37.11
261,2016-01-01,37.11
262,2016-01-04,36.89
263,2016-01-05,36.12
264,2016-01-06,34.04
265,2016-01-07,33.27
266,2016-01-08,32.91
267,2016-01-11,31.12
268,2016-01-12,30.57
269,2016-01-13,30.55
270,2016-01-14,31.22
271,2016-01-15,29.71
272,2016-01-18,29.71
273,2016-01-19,28.38
274,2016-01-20,26.55
275,2016-01-21,29.85
276,2016-01-22,32.25
277,2016-01-25,29.8
278,2016-01-26,30.52
279,2016-01-27,32.17
280,2016-01-28,33.75
281,2016-01-29,33.75
282,2016-02-01,31.33
283,2016-02-02,29.66
284,2016-02-03,32.72
285,2016-02-04,31.66
286,2016-02-05,30.99
287,2016-02-08,30.16
288,2016-02-09,28.3
289,2016-02-10,27.3
290,2016-02-11,27.22
291,2016-02-12,29.12
292,2016-02-15,29.12
293,2016-02-16,29.12
294,2016-02-17,31.43
295,2016-02-18,30.7
296,2016-02-19,29.87
297,2016-02-22,31.48
298,2016-02-23,31.4
299,2016-02-24,32.21
300,2016-02-25,33.07
301,2016-02-26,32.79
302,2016-02-29,33.91
303,2016-03-01,33.85
304,2016-03-02,34.74
305,2016-03-03,34.69
306,2016-03-04,36.31
307,2016-03-07,37.97
308,2016-03-08,36.36
309,2016-03-09,38.2
310,2016-03-10,38.02
311,2016-03-11,38.48
312,2016-03-14,37.36
313,2016-03-15,36.77
314,2016-03-16,38.55
315,2016-03-17,40.34
316,2016-03-18,40.53
317,2016-03-21,39.91
318,2016-03-22,41.24
319,2016-03-23,39.77
320,2016-03-24,39.52
321,2016-03-25,39.52
322,2016-03-28,39.33
323,2016-03-29,38.49
324,2016-03-30,38.29
325,2016-03-31,38.12
326,2016-04-01,36.7
327,2016-04-04,35.48
328,2016-04-05,36.57
329,2016-04-06,37.73
330,2016-04-07,37.48
331,2016-04-08,39.67
332,2016-04-11,40.35
333,2016-04-12,41.66
334,2016-04-13,41.55
335,2016-04-14,41.45
336,2016-04-15,40.41
